order_id,user_id,product_id,timestamp,rating
ORD-001,USER-001,PROD-002,2024-03-20T10:15:00,5
ORD-002,USER-001,PROD-009,2024-03-22T14:30:00,5
ORD-003,USER-001,PROD-011,2024-04-01T09:45:00,4
ORD-004,USER-002,PROD-001,2024-03-18T16:20:00,5
ORD-005,USER-002,PROD-006,2024-03-25T11:00:00,4
ORD-006,USER-002,PROD-008,2024-04-05T13:15:00,5
ORD-007,USER-002,PROD-016,2024-04-10T10:30:00,5
ORD-008,USER-003,PROD-003,2024-03-19T15:45:00,5
ORD-009,USER-003,PROD-007,2024-03-28T12:00:00,4
ORD-010,USER-003,PROD-015,2024-04-02T14:20:00,5
ORD-011,USER-004,PROD-004,2024-03-21T09:30:00,5
ORD-012,USER-004,PROD-005,2024-03-29T16:00:00,4
ORD-013,USER-004,PROD-017,2024-04-06T11:45:00,5
ORD-014,USER-005,PROD-007,2024-03-17T10:00:00,5
ORD-015,USER-005,PROD-014,2024-03-26T13:30:00,4
ORD-016,USER-005,PROD-015,2024-04-03T15:00:00,5
ORD-017,USER-005,PROD-019,2024-04-08T09:00:00,5
ORD-018,USER-006,PROD-006,2024-03-16T14:45:00,5
ORD-019,USER-006,PROD-008,2024-03-27T11:30:00,5
ORD-020,USER-006,PROD-013,2024-04-04T16:15:00,4
ORD-021,USER-007,PROD-003,2024-03-20T12:00:00,5
ORD-022,USER-007,PROD-010,2024-03-30T10:45:00,4
ORD-023,USER-007,PROD-012,2024-04-07T14:00:00,5
ORD-024,USER-008,PROD-001,2024-03-18T15:30:00,4
ORD-025,USER-008,PROD-004,2024-03-24T09:15:00,5
ORD-026,USER-008,PROD-010,2024-04-01T13:45:00,5
ORD-027,USER-008,PROD-013,2024-04-09T11:00:00,4
ORD-028,USER-008,PROD-016,2024-04-11T16:30:00,5
ORD-029,USER-001,PROD-018,2024-04-12T10:00:00,5
ORD-030,USER-003,PROD-019,2024-04-13T14:30:00,4
ORD-031,USER-004,PROD-020,2024-04-14T09:45:00,5
ORD-032,USER-006,PROD-020,2024-04-15T15:15:00,4
ORD-033,USER-007,PROD-002,2024-04-16T11:30:00,5
ORD-034,USER-002,PROD-004,2024-04-17T13:00:00,5
ORD-035,USER-005,PROD-003,2024-04-18T10:15:00,4
